Ligand,Binding Affinity,rmsd/ub, rmsd/lb,Name of Comp
new_68077_uff_E=556.89,-7.6,0,0,"Tangeretin; 481-53-8; Tangeritin; Ponkanetin; Pentamethoxyflavone; 4',5,6,7,8-Pentamethoxyflavone; 5,6,7,8,4'-Pentamethoxyflavone; 5,6,7,8-Tetramethoxy-2-(4-Methoxyphenyl)Chromen-4-One; ..."
new_68077_uff_E=556.89,-7.4,3.474,2.223,
new_68077_uff_E=556.89,-7.3,21.911,17.81,
new_68077_uff_E=556.89,-7.2,9.011,4.176,
new_68077_uff_E=556.89,-7.2,21.98,17.96,
new_68077_uff_E=556.89,-7.1,19.401,15.898,
new_68077_uff_E=556.89,-7.1,27.705,23.871,
new_68077_uff_E=556.89,-7.1,19.857,16.347,
new_68077_uff_E=556.89,-7,23.284,19.261,
